v_cond, z_cond
-4.173429403228565149e-02,-1.532198966462146837e-02
-3.387211913814708319e-02,-1.399882387488270326e-02
-2.775234388014575712e-02,-8.023461454399961196e-03
-5.648572184322678269e-02,-1.187272352696253433e-02
-5.068965186050128358e-02,-1.405344363619713370e-02
-3.307571701493249028e-02,-7.971404966582617407e-03
-5.698400718882377231e-02,-7.772290147356852689e-03
-1.022024488693451527e-02,-1.064467139882816805e-02
-4.762482035196433094e-02,-6.061946851673979085e-03
-7.530560824310222889e-02,-1.110150608793011515e-02
-5.195068835723620077e-02,-9.945150865312370192e-03
-4.929818946523810419e-02,-1.222523410966789431e-02
-7.273057118505715096e-03,-1.301181777932525555e-02
-1.443742460644848596e-02,-1.000913034822679265e-02
-1.183525521699812025e-02,-1.486737018441223503e-02
-1.644130760652712242e-02,-1.357568026286804994e-02
-9.810826364127396559e-02,-7.463772869467274682e-03
-3.309258122200797736e-02,-9.676021159251913667e-03
-5.862690469171131374e-02,-1.047547418527115110e-02
-6.676668177436159701e-02,-1.725232647144666828e-02
-6.292429274848357346e-02,-1.782575426365325122e-02
-5.853895066549724691e-02,-1.212954294833160779e-02
-8.039273664381774154e-02,-6.441164162515437830e-03
-5.810316012241821537e-02,-6.315988925416493247e-03
-4.685811122774202753e-02,-6.866411707428415542e-03
-4.536548751210371655e-02,-1.779688500672375884e-02
-2.764722929193048559e-02,-1.239600221902058957e-02
-5.561707953243184149e-02,-1.396057694863916607e-02
-5.873253422792269057e-02,-1.318234585630399108e-02
-2.817574340970074864e-02,-1.779438929943178913e-02
-2.325645987772229778e-02,-2.241049204076250856e-02
-2.507103989935395918e-03,-1.858139312241291821e-02
6.151231770556403466e-03,-1.818373208906327865e-02
-4.662515304858731030e-03,-2.036512591900601493e-02
-7.182865070459235751e-03,-1.951557100403808823e-02
-2.814266101646326762e-02,-1.814467732297237595e-02
-1.647437343578844055e-02,-1.854464257481571593e-02
5.277589065579759570e-03,-1.758734546453007488e-02
-7.137746592283487901e-02,-1.708682867987315265e-02
-5.260123471876522461e-02,-1.630005320602485874e-02
-1.660933394034225241e-03,-5.615135568295934014e-03
-3.901568125796654046e-02,-6.049434649721799166e-03
-2.143129828973394657e-02,-1.435485918107124240e-02
-4.731417642685931124e-02,-1.149421413964797460e-02
-2.267844558349459833e-02,-1.143975375535357525e-02
-3.808254747034469506e-02,-1.903721344024224965e-02
9.628541346847964422e-03,-9.633363621754159264e-03
-2.249012665791572108e-02,-9.734395740440313083e-03
1.444125926168339513e-02,-6.587000079420460633e-03
-8.952225080610358085e-03,-1.142747103764574917e-02
-2.287624236335402197e-02,-1.300596003084668328e-02
-7.138234718513160326e-02,-9.197820660191109027e-03
-9.239702064188382025e-02,-5.348692284633168106e-03
-2.014089682440437651e-02,2.249765748859442263e-03
-3.616618505830989511e-02,-6.860086953089077760e-03
-5.011245563253374780e-02,-1.617438516889707634e-02
-4.738744365554398152e-02,-1.514877224494868939e-02
-1.952232430765996410e-02,-1.552930358115559364e-02
-3.236318932244802715e-02,-1.860944443370438073e-02
4.522316406262209820e-03,-1.441409557843739177e-02
-7.442950066834003175e-02,-7.720412033959926298e-03
-6.284531491281415694e-02,-9.941686513924463675e-03
-5.703609390500602450e-03,-9.863015040193760796e-03
-5.597740659150453324e-03,-1.377779103388382560e-02
-9.693517258809857678e-03,-1.535931322855745886e-02
-3.225848782809243726e-02,-9.444738385551274332e-03
-5.491210202378069699e-02,-9.766442000930814632e-03
-5.036057892473345954e-02,-1.612442732800476938e-02
-1.975181805735041693e-02,-1.383109178282994518e-02
-4.743103097444666821e-02,-1.111668675184377363e-02
-1.924623908700655653e-02,-1.509680229653474585e-02
-3.477284973598875756e-03,-1.409319466436323096e-02
-4.012245717671303336e-02,-1.147437217235907150e-02
-5.243570489845487265e-02,-1.664241836737741231e-02
-2.408555925970757780e-02,-1.552975334061782939e-02
-3.325119888209667612e-02,-1.787014420231437112e-02
-2.934817919561467578e-02,-1.944776172271064224e-02
-7.537661035862537606e-02,-1.296718894113737912e-02
-2.687448210464838533e-02,-9.779659220066849734e-03
-2.868918059968641326e-02,-1.540010441018336076e-02
-7.371086012642882879e-02,-1.891947940006792270e-02
-1.868417266547572897e-02,-1.453543509799111282e-02
1.687508688274243218e-02,-1.345229295895871736e-02
-4.070352412200325259e-02,-2.139325281389180614e-02
-1.617443983142606914e-03,-8.680262036813950546e-03
-2.365811405982407023e-02,-1.564446254949097143e-02
-4.429190049034886778e-03,-1.752760307314651933e-02
-2.673698573306709791e-02,-1.652996919455181069e-02
-3.949308364826509266e-02,-1.320924571744502840e-02
-3.382855556759357257e-02,-1.880292158001462335e-02
3.478236216875624232e-02,-1.581736033181450202e-02
-2.658082837877977223e-02,-2.013654789033541420e-02
-2.071154007000065855e-02,-1.496966223226830345e-02
-2.811546543104478588e-02,-1.454188935993305266e-02
1.485949458375659255e-02,-2.100185757946104390e-02
-5.598506278062791858e-02,-1.429702718094545168e-02
-1.083880278190468838e-02,-1.196567086854513629e-02
1.385356856716438156e-03,-1.831262532482416661e-02
-1.685403134880526094e-02,-2.371610032650361272e-02
-2.868142136836471928e-02,-1.792903048525901211e-02
-4.114257779753900668e-02,-1.221248032580185897e-02
1.438998242653167017e-03,-2.178488060613541222e-02
-5.192413947872231289e-02,-1.419499973450218805e-02
-2.837035885632059606e-02,-1.101976302231191980e-02
-3.921987997637620127e-03,-1.311545068738303489e-02
-1.835151584599119257e-02,-1.419849995520080371e-02
-5.456766661141697339e-02,-1.359002251404672033e-02
-4.110912717240287201e-02,-1.350254045905809920e-02
-6.103975000840854842e-02,-1.217302425013820806e-02
-5.769884865922626782e-02,-6.771396075979601789e-03
-3.960382622207420794e-02,-1.071082592073829484e-02
-4.712055561923459562e-02,-1.342893864739828740e-02
-6.220674463582140379e-02,-1.318162878757678236e-02
-7.596630369414374140e-02,-1.142052127312584431e-02
-8.383460555283936411e-02,-1.199827471761690315e-02
-4.600291260385940689e-02,-1.028969459051121485e-02
-5.574221154331214512e-02,-1.187755477492758414e-02
-9.509707149909264745e-03,-7.427603171683639163e-03
-6.110216715017014605e-02,-8.202739835572809418e-03
-8.760225364988018931e-03,-1.035409535479053615e-02
-1.045124237929154626e-01,-1.446526551388124630e-02
-1.088081579471509852e-01,-1.610842964157804119e-02
-7.110313527929990052e-02,-1.153871540290695753e-02
-5.443518933720319780e-02,-8.822304285719628075e-03
1.512281595607253143e-02,-1.734938803865795909e-02
-2.520955726563479243e-02,-1.906017160537290533e-02
-3.463041046410846729e-02,-9.804906929711507818e-03
-1.095252030720285201e-02,-9.495884281312299419e-03
-7.270958326576489050e-02,-1.398363697590031436e-02
-5.613836741086281057e-02,-1.084276301117562472e-02
-1.316083254578954975e-02,-9.438502046860121342e-03
-1.741389578555792295e-02,-1.874268025095440424e-02
-4.473104655903443333e-02,-1.091393448345213783e-02
-2.603011018658354936e-03,-1.411471605237220144e-02
-5.112657313413403876e-02,-1.060268485691210488e-02
-8.656340628848301771e-03,-1.361090095860519912e-02
-5.453756223888692883e-03,-1.363667734332462723e-02
-5.923116016713260434e-02,-1.960705644302095443e-02
1.977242064777931171e-02,-2.089502434936467423e-02
-2.317265066017190969e-02,-9.483296516431989620e-03
-5.521292767416161040e-02,-1.002232714168870345e-02
-3.127951735998563826e-02,-2.060994630550614173e-02
-4.330924103735295239e-02,-1.325219493400783821e-02
-3.269526727688731871e-02,-1.096395995129380990e-02
-5.975458072970851742e-02,-1.598127772464233431e-02
-4.378176121880961863e-02,-1.309488500142939882e-02
-7.178832322416360545e-02,-4.492780730266401207e-03
-4.048681462357001104e-02,-5.759478343809857487e-03
-8.750744627522809294e-04,-9.823263851929565568e-03
-2.361173371370875462e-02,-1.295798576965737949e-02
-2.199719201465340224e-03,-1.316140833051623708e-02
-2.588915778131910261e-03,-1.426349133093883503e-02
-6.402979168511027663e-02,-1.611461035386096280e-02
-1.440538685292610740e-02,-1.512767376183076114e-02
-7.807489304600430391e-02,-2.211747470680753419e-02
-1.889073931090154423e-03,-1.817693431824750350e-02
-2.694160504342234599e-02,-2.215101091842970951e-02
-2.218356860891207427e-02,-1.547904280990336501e-02
-4.257171806792213464e-02,-1.526988339027175907e-02
-7.362904647508329570e-02,-2.167881150762903525e-02
-3.606687665187160996e-02,-1.360109633733148742e-02
-1.575864677134948197e-02,-1.050481297806150557e-02
-1.262443247096996582e-02,-1.657705858045495015e-02
-2.753499600887550011e-02,-1.489230414640045110e-02
-2.919447332824294528e-02,-1.614302813701801870e-02
-8.782651639324595694e-02,-1.142877269054193637e-02
-1.635555199885396771e-02,-7.385375382750907804e-03
-5.699920442498290774e-02,-1.266036057155899529e-02
-2.015675485119273330e-02,-1.436194092713639209e-02
-1.416774850440292305e-02,-6.593263593975801085e-03
9.536175598839475437e-03,-1.598628845085781416e-02
-9.258282393974012758e-05,-1.656708245858318218e-02
-9.604039862883136450e-03,-1.910354686271331995e-02
-4.495126664592395682e-02,-1.413439720662893091e-02
-1.585037314597515304e-02,-1.896874308594860559e-02
-5.491594601629973260e-02,-1.407431239588931293e-02
-1.441368584526633509e-02,-1.700679423174812979e-02
-6.930943069611677707e-03,-2.374871842121741017e-02
1.884048477123767898e-02,-2.073020387819918611e-02
3.848500772545143667e-04,-1.588101507572983739e-02
-4.255332720698137144e-02,-1.178384891585554893e-02
-3.510673159538506283e-02,-1.033179574945577127e-02
-1.834232600063356172e-02,-6.487569347248381413e-03
-6.044892782779786450e-02,-1.008265657621512310e-02
-6.159177098723677551e-02,-1.020598057543739556e-02
2.738356160096254432e-02,-1.456225933355732166e-02
-3.195819993103173051e-02,-1.138625956171118725e-02
-9.102117362890685404e-02,-1.231262476657041076e-02
1.968870999561864177e-02,-1.729772244363958142e-02
-1.881590036045338588e-02,-1.153435233540175790e-02
-5.242142622322780443e-02,-1.998955531515080042e-02
-7.270444826063929278e-02,-1.780317117356337853e-02
-4.252222115231030913e-02,-1.057348358042784972e-02
-2.834479657222999799e-02,-1.249872579202142980e-02
-4.243922919480636741e-02,-1.772266164702896232e-02
-3.314944829100630042e-02,-4.673755029042632805e-03
-3.208550558186702012e-02,-9.457910966996769045e-03
-5.430509879679037977e-02,-5.673552463735678439e-03
-9.259834893289537600e-03,-9.897855814921746945e-03
-2.890757227886431996e-02,-1.554721111698122160e-02
-3.521536981142942002e-02,-1.077189157280676601e-02
-2.118940420038015540e-02,-1.149032029417447476e-02
-1.963751592207955282e-02,-1.017027365539728209e-02
-1.348158881487288713e-02,-1.248412943511173663e-02
-3.590440606929732464e-02,-1.176227892349476431e-02
-6.866776403780107396e-02,-9.302722904714856231e-03
-4.097368072114022236e-02,-1.177017098700444860e-02
-5.763703627994603423e-02,-7.037340864285684255e-03
-7.548310533935942424e-02,-1.306172962945711252e-02
-6.927804785683969180e-02,-1.193875545279537466e-02
-1.107468381495568463e-02,-1.211359456734434695e-02
-2.217651362470481058e-02,-1.794999222495776564e-02
-3.807804111662817237e-02,-1.920061956512898391e-02
2.203855771244071435e-03,-1.350922322597434590e-02
-2.719622623161046734e-02,-1.606839117991511190e-02
-1.277769856909071952e-02,-1.428234167274574154e-02
-5.859054893405539477e-02,-1.581220965195434883e-02
-5.029391617600353220e-02,-1.755628366206547428e-02
-1.108116362472332805e-01,-1.396074931251064036e-02
-4.897136695598261480e-02,-7.885155611099902914e-03
-7.168731553933975487e-02,-9.308469403053881708e-03
-2.541408324404077768e-02,-1.549384082836364855e-02
-4.524592153480339052e-02,-1.081816607420377913e-02
-1.106266116363254781e-01,-1.342105098246054729e-02
-1.576366049864212290e-02,-1.841017259188483524e-02
-6.533302122690864966e-02,-9.263225776151493701e-03
-1.993280991468950394e-02,-8.264193045467672569e-03
-2.324544796373490679e-02,-1.655892435849421959e-02
-2.508700175114076183e-02,-8.782062711791313592e-03
-2.164631704148629876e-02,-6.796373252549212964e-03
-8.677425852020013985e-02,-1.588090086239039855e-02
-4.131754680587500228e-02,-1.591550896548863531e-02
-4.067117525137788070e-02,-1.789835369836427145e-02
-6.164052076539339869e-02,-1.682886453002258031e-02
-2.667908479795123855e-02,-1.182916995139278275e-02
3.311527747127945842e-02,-1.624571613193426592e-02
-3.349856695027551151e-02,-2.046246231052648024e-02
7.911473012665516669e-03,-1.275539216015704469e-02
-5.001706915943182619e-02,-1.289053931198015993e-02
3.291849445185880685e-02,-1.510596705122751841e-02
-6.464662782535665619e-02,-1.148632630303348875e-02
3.381455980996625477e-02,-1.336235833577499588e-02
-3.442242597104251678e-02,-1.694230031569485956e-02
-2.883649391044497065e-02,-1.991250030773543400e-02
-1.310497062324636648e-02,-8.403048228235796349e-03
-7.539469698680986709e-02,-1.303962975178594996e-02
-2.296088943627926093e-02,-1.365232391612164996e-02
-7.128998247132095623e-02,-1.148448792446503386e-02
-5.167044856374251177e-02,-9.510502530859612016e-03
-4.126608345346490653e-02,-1.105512184288442480e-02
-1.108608232474465050e-01,-1.158607310776438130e-02
-4.766107741736645698e-02,-1.387962150714215290e-02
-4.944770196198423895e-02,-1.053699197571236236e-02
-2.653861618693747343e-02,-3.473076012905748806e-03
-3.251562991936201436e-02,-1.004408826723605583e-02
-6.566838796806583056e-02,-1.313997894174018938e-02
-4.780892056301588866e-02,-1.376234636343442660e-02
-2.578650814862791518e-02,-1.847751416690248186e-02
-1.122879488914294704e-02,-7.793125746039157239e-03
-6.089610044913500164e-02,-2.242006939281675215e-02
-4.369177778293950598e-02,-7.689246342179611310e-03
1.721834772778207956e-04,-1.929341649458967897e-02
-2.630014606045415898e-02,-1.817703190021145027e-02
4.957281370699026177e-03,-1.527922985633726333e-02
-2.943302914204845577e-02,-1.631871706194328031e-02
1.337761121007361581e-02,-1.813726003582227103e-02
-2.743521929441569696e-02,-1.895582887294505053e-02
-8.269127733135399339e-02,-1.404868731565749214e-02
-3.832966267165212326e-02,-2.091811108026598795e-02
-5.425403297910989797e-02,-1.394882309431351962e-02
-4.236801605011748795e-02,-9.428460670462882748e-03
-7.615975630407867403e-02,-1.265131537581273835e-02
-5.532959806932907787e-02,-1.355162141339875601e-02
3.296479591331710757e-04,-9.684735350520374750e-03
-5.593770927182951935e-02,-1.317966385510502964e-02
-6.306872512179863277e-02,-1.345961588363703276e-02
-3.079295122056631417e-02,-1.267229397312599065e-02
-6.290153066965085971e-02,-1.351520544871940427e-02
-5.620564022166753271e-02,-7.416477015170501452e-03
-4.107373507418154990e-02,-6.927822965324381341e-03
-9.621065360034776470e-02,-8.849650095759758334e-03
-5.700685578325941777e-02,-8.319037767563944308e-03
-2.618484565776349124e-02,-7.740752022097701322e-03
-4.726691304047967584e-02,-5.237173191191229864e-03
-1.321274941019950910e-02,-7.285144359088016608e-03
-6.535905954539943108e-02,-8.864430891757254377e-03
-5.785698101419388395e-02,-1.223323936463917988e-02
-6.197807285677875422e-02,-1.100728160092470480e-02
-1.571575580088528656e-02,-1.089731677694001817e-02
-7.514654806477627513e-02,-1.200168171765703812e-02
-3.064184024573763515e-02,-1.972062323845118204e-02
2.900301348225416825e-02,-1.643802731930914252e-02
-3.711918566647767065e-02,-1.881848082818705914e-02
-6.788360818997163371e-02,-1.128511655714325990e-02
-5.314816144492667815e-03,-1.937150516849710236e-02
-2.771681260835803795e-02,-1.703875191532044225e-02
-4.692918188609074281e-02,-1.058350596708961672e-02
-1.413446923715236392e-02,-1.006759943664968862e-02
-3.692089159350547128e-02,-1.488972151616432989e-02
-1.359040800654656711e-02,-1.336413633450017450e-02
1.163374906297779711e-02,-1.984211317267607286e-02
-5.563107835359207970e-02,-1.744868000884446796e-02
8.491435740476355881e-03,-1.058970212261612330e-02
-1.748667727899691493e-02,-1.597394186923031464e-02
-1.321341962071121388e-02,-1.071806448038734906e-02
-7.213741425851349920e-02,-2.382048346012277315e-02
-3.061643544070018208e-02,-2.143796361097836944e-02
-3.550095203136766769e-02,-1.023312668039632646e-02
-3.117032368663801706e-02,-1.586455625510140369e-02
-8.990026615804905252e-02,-1.662259236575736737e-02
-9.453299040880294712e-02,-7.312632024289826560e-03
-2.627181815247809152e-02,-6.936990285041681747e-03
-4.052177588137827191e-02,-9.701292834015282432e-03
-1.012433238477093017e-01,-7.084444193444745103e-03
-9.395152862560704476e-02,-1.140057132351083961e-02
-5.391210651110177332e-02,-1.467600814258816951e-02
-7.948520796901939467e-02,-1.561795518882255068e-02
-4.446820371689563789e-02,-2.199820882552298157e-02
-4.646896608523817807e-02,-1.524388947826511333e-02
-5.080564207589965964e-02,-1.158246102138913228e-02
-3.980287031880833104e-02,-2.052788320878744591e-02
-2.870353264695457360e-02,-1.610920620243113874e-02
-2.483807362390487786e-02,-1.107939212458184872e-02
-9.000438510003241910e-02,-1.201465934373963790e-02
-5.026957849075777696e-02,-9.500342871604710443e-03
-3.669471292783602762e-02,-1.541095730222709695e-02
-5.219994488578925257e-02,-1.025283604948323997e-02
-2.309075908268942712e-02,-7.891952813254688240e-03
-7.245468681274468831e-03,-1.553880213055272054e-02
-3.692608995430009949e-02,-7.151276591616545497e-03
-1.346460860382785174e-02,-1.563382629393944220e-02
-6.995339898703253900e-02,-1.760492709898195396e-02
-4.873041770515611215e-02,-1.065462171264310899e-02
-7.863741601656490388e-02,-1.313486140143001885e-02
-3.395395120671940159e-02,-8.922458671377616127e-03
-2.732385441330159592e-02,-1.965281826017492572e-02
-1.971000473113623114e-02,-1.676269832728563211e-02
-2.844838212864413823e-02,-1.290708992770625563e-02
-7.127781990434989279e-02,-1.404582813029283186e-02
-7.678678330234656180e-02,-1.413610870377849695e-02
-6.854679918935289995e-02,-1.476804350216647313e-02
8.208891810923095445e-04,-1.565264452101993234e-02
-3.919952591702689781e-02,-1.260238736676629230e-02
2.741137947596736929e-02,-8.314773024914302521e-03
-6.991485037234879130e-02,-1.364381641409305110e-02
-7.194329107882414115e-03,-1.500047204570297346e-02
-5.710749353973343378e-02,-1.454652216804131967e-02
2.735875401276156860e-02,-1.609752398131516007e-02
8.131454748236052743e-04,-1.354897649763734530e-02
7.494320861429752678e-03,-8.658876651060302271e-03
-5.309793800052931001e-02,-1.201605992705438372e-02
-3.103484739421553951e-02,-1.070194828577927110e-02
-2.442176970131692063e-02,-1.162122039179181582e-02
-3.231534395530614306e-02,-1.763724446791349945e-02
1.215155478986314902e-02,-1.526294013232194248e-02
-3.343179329992823634e-02,-1.497068238220111529e-02
-4.109308210946793771e-02,-1.580908500650123755e-02
-8.774171887723837548e-02,-1.388963288876223987e-02
1.878442243249693264e-02,-1.320442014590833546e-02
-3.982007802269005303e-02,-2.660065853497703414e-02
-4.117188074715930762e-02,-1.111849073278906377e-02
-5.966721042789451673e-02,-1.702028519488516661e-02
-3.241032993497216380e-02,-1.233972258539335447e-02
-2.079946021294592703e-02,-1.941711576777822509e-02
1.682386682425062938e-02,-1.732955694095231897e-02
-5.080547937963010574e-02,-8.873918508979537073e-03
-7.068572912682402620e-02,-1.442915748130672686e-02
-3.515015305885665908e-02,-1.287673707364156601e-02
2.294185729784640332e-02,-1.645236695109297473e-02
-2.273678804794708810e-02,-1.572492470895659952e-02
-9.667811716478156431e-03,-1.427552091671798612e-02
-1.883956283702315632e-02,-1.812426004759430664e-02
-8.315005273577853739e-02,-1.661886684683792914e-02
-1.356123978748680417e-02,-2.100708404632910947e-02
-3.891068555348894953e-02,-2.095015844883313383e-02
-2.706788379858066779e-02,-1.081688856393072697e-02
-2.767366696111166896e-02,-1.033816248896613291e-02
-4.753766433202936265e-02,-1.409201908134095904e-02
-8.539279329252672315e-03,-1.825765241271919137e-02
7.979839312258728279e-03,-1.690154944453215596e-02
3.581050971425057960e-02,-1.607683690744320451e-02
-2.500820562718924361e-02,-1.640199064197209525e-02
-6.674725558556522664e-02,-2.032790217354273413e-02
-3.791835013467598908e-02,-1.371434020059799849e-02
-4.144492910989595880e-02,-1.497415653282819017e-02
4.673189108918111845e-03,-7.654398401893835677e-03
-3.928511832290415562e-02,-1.576821596069023779e-02
-6.365779091396248091e-02,-2.582337476928485420e-02
1.014977804759169440e-02,-2.220935400175211988e-02
-2.468110357475078454e-02,-1.382337746056107666e-02
-6.136660398582090975e-02,-1.236506441878052615e-02
-7.302418638431870668e-02,-9.176033151698381393e-03
-2.670429431514794935e-02,-4.728687767313446803e-03
-2.247947024096767082e-02,-1.009268279660515549e-02
-3.535603047804004168e-02,-1.313045569297885927e-02
-2.593323366690196419e-02,-9.994231539424712485e-03
1.361639534962695228e-02,-1.568805203917040050e-02
-1.937136174861354976e-02,-2.064524000309838833e-02
-2.819396388393136804e-02,-1.826218303200316875e-02
-1.908632467845574471e-02,-1.104304195442709288e-03
-4.149781051205123084e-02,-1.627791347375411035e-02
-8.295442981544945416e-02,-1.160891717768918092e-02
-2.929330101818692494e-02,-1.593412395699504366e-02
-4.666697703815644860e-02,-9.511302056081926554e-03
-1.305675047290699164e-01,-1.226588246378788015e-02
-3.161245387354272296e-02,-1.440167448600244461e-02
-6.548794526019206808e-02,-1.462156767537110130e-02
-2.047676963450422230e-02,-1.500235418292876315e-02
-2.153693919523799044e-02,-1.880856327646082682e-02
-1.344003038872212258e-02,-1.228988650282508352e-02
-2.742990900406650639e-02,-1.702636674836685224e-02
-8.554133877195333954e-03,-1.594905645245971865e-02
-2.434135678456305490e-02,-1.234703165665890050e-02
-7.301402267995079493e-03,-1.704515264761102128e-02
2.526807870021983982e-02,-1.560607024297417170e-02
7.915310828123252318e-03,-1.217382044393552042e-02
-2.873215420271290135e-03,-1.632133719716380438e-02
-2.066084523045612006e-02,-1.269899088428924627e-02
-4.269963110154370578e-02,-1.222623628063024270e-02
-4.310295592820104216e-02,-1.587935991921421083e-02
-1.183623446987732558e-02,-1.563730734172757292e-02
-2.978879817982623898e-02,-1.260731212452029064e-02
-1.491173403671749477e-02,-1.248705359979879019e-02
3.743070703687759876e-02,-1.228580129333234697e-02
-6.083423587464446142e-02,-1.568197044014146835e-02
-3.496227400741890728e-02,-1.215550085821981777e-02
-8.937331467026007892e-03,-1.284102914842016538e-02
-3.054212835374833443e-02,-1.245878232170362712e-02
-4.800600076698702950e-02,-1.862049617565881415e-02
4.378532243403079893e-03,-6.271776208042651422e-03
-3.336179880713017326e-02,-1.546074057332922844e-02
-4.302273950103779193e-02,-9.842194075050983079e-03
-1.740525312104805947e-02,-2.293742019997040832e-02
-3.961260485336708104e-02,-1.884984487815020288e-02
-4.193725856534231272e-03,-9.908359005348768567e-03
-3.180890940581816706e-02,-1.528922815610440564e-02
-4.666020263209810781e-02,-1.402579391028322721e-02
-4.374488651627603947e-02,-7.539120521516121803e-03
-5.612368091533785630e-02,-2.319589201477300494e-03
-9.571203001119393816e-02,-9.694810287744286617e-03
-3.331960357904584225e-02,-8.359791829596617194e-03
-3.386412244333780741e-02,-1.412239722062612508e-02
-5.034922149981180262e-02,-1.108842773888802681e-02
-5.642180542584346314e-02,-1.015697059797409686e-02
-6.251863099770235688e-02,-1.399767146967258180e-02
-4.140121902101654566e-02,-1.141210382294289248e-02
-6.188615708202001298e-02,-1.449303642701943971e-02
-3.756593470232158505e-02,-8.064413662099069458e-03
-6.391876215472680478e-02,-5.957736378122550566e-03
-5.019133765811324699e-02,-1.202275405929627283e-02
9.488918008670157306e-03,-1.050716842151489493e-02
-1.404027298136685531e-02,-1.865537676521317884e-02
-7.634672720855412154e-02,-1.560416861031371609e-02
-4.573201634410661853e-02,-1.865828402058988811e-02
-4.172958151842215413e-02,-1.250612282190671429e-02
-3.061680390328707507e-02,-9.034749140022937594e-03
-4.713143948826852003e-02,-1.229844857010766596e-02
-4.512605025378366164e-02,-1.502225829939009272e-02
-2.113376135381493659e-02,-1.205991012779797367e-02
-3.495235250902407886e-02,-1.624123834437847178e-02
-1.978095797127103414e-02,-1.671594551829316821e-02
-1.348936312624807871e-02,-1.521255193578861277e-02
-5.068854919575919993e-02,-1.735057101876300717e-02
1.424037946604130023e-02,-1.451766571222753294e-02
-6.645229036420408075e-02,-1.015197186372054396e-02
-9.581604870841917143e-02,-1.474797218612881704e-02
-5.163467575243653462e-02,-1.664222400057530776e-02
-4.197628069561795683e-02,-1.444253800947439478e-02
-4.072516757828791023e-02,-1.645149116092017860e-02
-7.559443301610450916e-02,-1.183465213163220273e-02
-6.292973648918848140e-02,-1.360559537819946117e-02
-2.513080476160162863e-02,-1.320003830933324553e-02
-5.976564933992743051e-02,-1.455582315123465920e-02
-3.938540980675962061e-02,-1.423528447111355698e-02
-4.721967108168929200e-03,-1.709940112653589306e-02
-1.885363053513960593e-02,-1.538848370834718614e-02
-4.643987665332041659e-02,-1.692038131179136526e-02
-7.643846503730572506e-02,-1.251994392388930746e-02
6.372491683458089695e-02,-1.042336821763755091e-02
-1.890049737567918789e-02,-1.016686517662246034e-02
-5.084971527767977173e-02,-1.541202344119936736e-02
-3.985465438287701112e-02,-1.570698998169610047e-02
-5.113612523241137242e-02,-1.822251685935026913e-02
-3.529624167614379276e-04,-1.400291412275791146e-02
-1.814505122648145050e-02,-1.458006824375253710e-02
2.802631665951067427e-02,-1.806828608732000130e-02
-8.288968697132305732e-03,-1.017771578602094315e-02
-2.462089872576513419e-02,-1.321989187780654544e-02
-6.918865832004376937e-02,-1.518698938634437633e-02
-8.345731930826916223e-02,-1.314983024335850646e-02
-4.956576840343705770e-02,-1.881429848169324098e-02
-1.217708006078966135e-02,-2.038911309541467654e-02
-2.722350772018551635e-02,-1.636766076901396971e-02
-4.408893079662880993e-03,-1.221328405554504212e-02
-8.780546352162932680e-03,-1.939334768746857687e-02
-2.798193383917792557e-02,-1.743911396589622673e-02
-6.324544694329076178e-02,-1.213266840688561818e-02
-5.291100159936426572e-02,-1.213834340957096504e-02
-7.300687789971396779e-02,-1.638308124195055754e-02
-2.557878190273161351e-02,-1.485615480123334345e-02
3.886436819348895733e-02,-1.344248094334313595e-02
-2.081338400097618863e-02,-1.954832943654443572e-02
-4.143130826062622896e-02,-1.710674662975633295e-02
-2.940998370478913396e-02,-1.650013099704031663e-02
-2.506922716794979245e-03,-1.510556770193320977e-02
-7.759222090577957975e-03,-4.906654617184750232e-03
-3.077169977601914783e-02,-1.017489356015389979e-02
-5.728736615905620500e-02,-7.118612375724542481e-03
-2.175343459534684332e-03,-6.504498474269117085e-03
2.593446810680841152e-03,-1.281323703052231894e-02
-2.855659114066936427e-02,-1.171994964165699003e-02
-1.681702167350548893e-02,-1.944457882325200879e-02
-1.313805751188523718e-02,-1.378444175817129802e-02
-1.311650868732206800e-02,-1.488326458116944785e-02
-2.122140462743676848e-02,-2.019371266733476292e-02
-1.413239926901436842e-02,-1.850890561036682216e-02
