v_cond, z_cond
-2.947884938253654552e-02,-1.619497178156255671e-02
-2.618094005770489618e-02,-6.318333039970801604e-03
-5.782156317623490804e-02,-4.843845745540750931e-03
-4.978370041283032565e-02,-1.346077171258368808e-02
-4.621312798798273003e-02,-5.660179403879134555e-03
-6.070550988632225642e-02,-1.648673953540809051e-03
-3.623868486336328382e-02,-8.332661849579455285e-03
-5.304345678350223803e-02,-1.014768043505934712e-02
-3.507303311445943150e-02,-1.053019770598519200e-02
-4.419010767274950124e-02,-8.565977552990766686e-03
-2.490949312859920897e-02,-5.340658283313425535e-03
-4.883393993697623947e-02,-4.005754195314834010e-03
-6.271054872153236648e-03,-1.029389229069514397e-02
-3.537505770738866295e-02,-1.623931524545855348e-02
-3.070877549085859748e-02,-1.241405543730654017e-02
-3.968909402815549992e-02,-1.354987596242653893e-02
-3.388463492954066347e-02,-9.937879606026073231e-03
-2.028449479917648207e-02,-1.332893853025202135e-02
-2.271773099804442683e-02,-6.482073022849840598e-03
-4.740435579373884073e-02,-9.938952258285230906e-03
-4.456526426034239721e-04,-1.277767630228941048e-02
-1.375886740596964260e-02,-1.305234298047914035e-02
-2.844978697424601320e-03,-2.702053176915648197e-04
-6.865110720286470014e-03,-1.059324300660738696e-02
-1.799051932625353803e-02,-1.101098394357336030e-02
-2.051386688233468314e-02,-1.252992640231187331e-02
-1.366003716371008703e-02,-9.428486192451594403e-03
-8.749507244572227171e-04,-1.687910812299700525e-02
-1.699365174385117361e-02,-9.125535572945486784e-03
-1.723437583122199371e-02,-5.735364539977871184e-03
-2.462688261115570168e-02,-1.607106259257851111e-02
-2.121747641567562140e-02,-1.113287033637142161e-02
-1.286284488524139062e-02,-8.475801732872073613e-03
-1.253251313640960096e-02,-1.508246386781190995e-02
-1.400843262440415807e-02,-1.091191887437120006e-02
-3.592913805814521716e-02,-7.297002173731231139e-03
-3.668867265025875513e-02,-1.512827649465690698e-02
-4.247780629245266615e-02,-7.499505799086666688e-03
-3.526775120790159868e-02,-4.414306173346566053e-03
-4.845281148019685291e-02,-1.998420219743022447e-02
-3.975296923845884900e-02,-8.121866122256403073e-03
1.125521687436033258e-02,-1.210064591085916602e-02
-3.779974201245981519e-02,-1.318070203122324868e-02
-3.411500661997568518e-02,-1.655160542338359950e-02
-3.858773505037227380e-02,-3.084839753384994825e-03
-3.689618003491780540e-02,-1.521639737454935290e-02
-3.841306644289941424e-02,-4.267360137119978990e-03
-4.470400450987314922e-02,-1.027918645896792015e-02
-4.594190397759963934e-02,-9.601391435315336648e-03
-5.143729901378563119e-02,-4.858217292157334527e-03
-6.545720297381528441e-02,-9.943646029586934026e-03
-5.974799945733955814e-02,1.660107639690337018e-03
-2.156747224132428420e-02,-9.301124199574781204e-03
-3.899444172661728492e-02,-2.119606676224534275e-02
-2.651438084401937928e-02,-1.596437502057593272e-02
-4.758658056839186468e-02,-6.253542897852471145e-03
