,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.7989947290922164,0.039052513427730584,1.7242877632312863,1.7727113893306783,1.798189223401456,1.8248494261076311,1.8780637482626779,0.0001912689254787422
a_std,0.2587237855545368,0.029905583852265348,0.20724277822672033,0.2375559157129637,0.25619572555679426,0.27727297873688606,0.3241065858015145,0.00015060730567522624
a_subj.1.0,1.750648214103282,0.06148520946317316,1.6344976230406802,1.7086381209297734,1.7492065079789434,1.791275400646474,1.8742281277903357,0.000266111520887943
a_subj.2.0,1.9935715386577344,0.06739902710014467,1.8663032292536392,1.947072933311801,1.99191901403803,2.0380559578943527,2.130600897164099,0.00033262228494669577
a_subj.3.0,2.117546404737011,0.07610660422527349,1.9735039940695223,2.065638766660238,2.115357547437975,2.1677102704313795,2.272832326269156,0.0003701695284708712
a_subj.4.0,1.1467770065606395,0.04011647255278192,1.0711554539528343,1.1191784321450946,1.1456026250296365,1.1730309092629772,1.228921986186055,0.00019578778257212814
a_subj.5.0,1.5239269854568078,0.05819565567216029,1.415853631751536,1.483183504153383,1.5223825607593997,1.5626400425146714,1.6431057690964295,0.0003222598451243011
a_subj.6.0,1.6297175417502698,0.06571539740786893,1.5057286934108143,1.58480984785284,1.6277251813699012,1.6730013232307912,1.763945117615583,0.00034731722810947736
a_subj.7.0,1.9220089345523297,0.0636998045860396,1.801092741245438,1.878375230954724,1.9208035006499116,1.964163035329278,2.0508467464602798,0.00028669583185353506
a_subj.8.0,1.6576063440260047,0.05906434423162794,1.5467288532497612,1.6170589831675906,1.6561448542658361,1.6964233154498063,1.778099512332274,0.00029663026544178345
a_subj.9.0,1.872135444449406,0.06593129883322434,1.7480810368676207,1.82686871139972,1.870141361096277,1.9155012179243904,2.0068244077972643,0.0003677902877617159
a_subj.10.0,2.26912601572233,0.08637632969393967,2.1068364017543066,2.209316459996739,2.2657363302682927,2.326850583736217,2.4448782563134985,0.00043582951365918896
a_subj.11.0,1.8742724705224798,0.06833173649501668,1.746306886065684,1.8272063345301355,1.8721089491094471,1.919431318948776,2.014093172176126,0.00033692675781887106
a_subj.12.0,1.8787518678308468,0.06571217983190157,1.7547459059817039,1.8338406517499872,1.8772081318251268,1.9220627084832147,2.0130872858987994,0.0003371049771971952
a_subj.13.0,1.3298314737723584,0.05165479614116728,1.2320054308323658,1.2939078114990596,1.3286853128278782,1.3642755664455566,1.433873307936024,0.00025841515319829824
a_subj.14.0,1.8189176952697976,0.06615538174197137,1.6936582654390806,1.7738862759334686,1.8170780271456166,1.8626468904089344,1.9527476842398617,0.000326440905794725
a_subj.15.0,1.3738008905128125,0.04959671901642531,1.279726201797855,1.3398496705165392,1.372808856577464,1.4064717584177646,1.4739741393847807,0.00021489470868448017
a_subj.16.0,1.9976300993765754,0.07223192632524515,1.8582758562113626,1.9489203286253598,1.9968247768795957,2.045486123437337,2.1422007832714245,0.0004031329095608877
a_subj.17.0,1.3138742742993215,0.04742562171648617,1.2247349995944539,1.2813238146889687,1.31245128337396,1.3449269018590682,1.4108721938502877,0.0002628494488179222
a_subj.18.0,1.7802807781717334,0.06123200182738769,1.661338645969828,1.7390825694191188,1.7796607704711465,1.8208557213199703,1.9017986122158983,0.0002742174258545125
a_subj.20.0,1.5945091483535312,0.06111392473795813,1.4779435094257711,1.5530625558252715,1.5935176192974763,1.6352077026465683,1.717331412617049,0.0003181732492738471
