,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.7700773929222202,0.025225715712393137,1.721307575762363,1.7530479479185581,1.769767454397606,1.7867148153572177,1.8204317783238524,0.00013176030754216423
a_std,0.23235014024404152,0.019438762074030818,0.19751131448904335,0.21874727067594174,0.23124710069699617,0.24477221515433895,0.2735723847337704,0.00010168793778429402
a_subj.15.0,1.665860358466522,0.06624336742832433,1.5415232610022491,1.6198502074857317,1.6641670759249951,1.70930963449318,1.8030806668745833,0.0003135090148966558
a_subj.20.0,1.7786423147101385,0.07138006573735187,1.6440771905706482,1.7295189689294306,1.7768529068961847,1.8256923592990608,1.9238747439470625,0.00031785178665108706
a_subj.22.0,1.7779344570812223,0.07029439748316933,1.6467408830751762,1.729386087339119,1.7758600564563731,1.8239519821053498,1.9210116735944798,0.000358449974358731
a_subj.23.0,1.7423514992502611,0.06641471632346703,1.6176802529760292,1.6969689653895785,1.7405208080001595,1.7855096832492026,1.878251776153864,0.00028766749218957666
a_subj.24.0,1.6325237467950502,0.06588547949543654,1.5090850181975166,1.5871923838593376,1.630287706362896,1.675909276272498,1.7668822124365737,0.0002874397458843775
a_subj.25.0,1.8545588501165686,0.07243365065644863,1.716921613660928,1.8050996987131793,1.852682524750333,1.9022349061511503,2.001252350460199,0.000359295949625276
a_subj.26.0,1.9877330596259575,0.08847623904828493,1.8259079444910769,1.9259180097352822,1.983620552057856,2.0450981305914455,2.1716525619454585,0.000557383664899931
a_subj.27.0,1.774036041390628,0.11832326757069982,1.5818827719260184,1.6798898064514853,1.7571683771456992,1.8679888047722712,2.005334431300271,0.004230753647884719
a_subj.29.0,1.5455567658460252,0.06279740200862555,1.428130194393432,1.5020647664346536,1.5436846991001691,1.5870461508479088,1.6733811586002467,0.0002883329807737532
a_subj.30.0,1.4540323105828128,0.05887585849229763,1.3440713886843658,1.4134740976333224,1.4523829814181863,1.492798331742552,1.5745624231501414,0.00032552791548248587
a_subj.31.0,1.5428234642366507,0.0740433870302181,1.406641634175961,1.4913672938831872,1.5395707320503433,1.591227401093046,1.6972754221820667,0.0004617630319349149
a_subj.32.0,1.6868845745875483,0.06753016869023441,1.5610326070343143,1.639983656763857,1.6847896925575732,1.7310235963961658,1.8255041401327916,0.00030984864561790776
a_subj.33.0,1.5213082035475713,0.06666792853005167,1.397270087507114,1.475821557125907,1.518782483489454,1.5644216019658945,1.6584019003022148,0.00032245311768627034
a_subj.34.0,1.7543535723609194,0.08112668870498495,1.5925570551230577,1.7008307110991665,1.7550959080712796,1.8080874480989233,1.9131361897885724,0.0004793049997335909
a_subj.35.0,1.848742623596883,0.0814292711433621,1.6983793899972925,1.7919957608677097,1.8459266823690792,1.902121839052433,2.0166417198894235,0.00043904481932973354
a_subj.36.0,1.5455834950901306,0.06201052247637292,1.429206500780711,1.5028385548098833,1.5438219411122067,1.5861186108906682,1.6729464313888949,0.0002615043067553138
a_subj.37.0,2.141811587773396,0.08463714586201655,1.9837035503583764,2.083579500853365,2.1394120952656674,2.197120684474697,2.314920732861229,0.0004031656943763111
a_subj.39.0,1.522919418301021,0.06344447707093184,1.4037509590717596,1.479200589770502,1.5209260586611588,1.5644357396087665,1.6536280561313788,0.00032425832191633073
a_subj.40.0,2.0438602528563887,0.08468631429081132,1.8837862258081186,1.9853957329418856,2.0416953915201024,2.099680742969732,2.214601780891759,0.00038293261376481333
a_subj.41.0,1.759604563529419,0.07204695778932657,1.6254758013085744,1.7098636374612703,1.7572719756107695,1.8064387382119755,1.9067575243079387,0.0003640957744624798
