Parameter,Rhat
a,0.9999865902042959
a_std,1.0000060960649295
a_subj.1.0,0.9999770563445157
a_subj.2.0,0.9999788919036173
a_subj.3.0,1.0000142702491006
a_subj.4.0,0.9999894755668949
a_subj.5.0,1.0000163091663241
a_subj.6.0,0.9999697955545007
a_subj.7.0,1.0001081277122967
a_subj.8.0,1.000031981504299
a_subj.9.0,1.0000241214093146
a_subj.10.0,0.9999886555171474
a_subj.11.0,1.0000111678002874
a_subj.12.0,1.0000261117582927
a_subj.13.0,0.9999801073972364
a_subj.14.0,1.0000133026051954
a_subj.15.0,1.0000316910115186
a_subj.16.0,1.0000833227062784
a_subj.17.0,1.0001360265890515
a_subj.18.0,1.0000225511699288
a_subj.20.0,1.0000813832875646
a_subj.21.0,0.9999805516163454
a_subj.22.0,1.0001051815888937
a_subj.23.0,1.0000285960727318
a_subj.24.0,1.0001027760318995
a_subj.25.0,1.0000010545758378
a_subj.26.0,0.9999753516265878
a_subj.27.0,1.0000994544578121
a_subj.28.0,1.0000012829027662
a_subj.29.0,1.0000897412412941
a_subj.30.0,1.0000339967419665
a_subj.31.0,0.9999781057035045
a_subj.32.0,1.0000046959163418
a_subj.33.0,1.0000723670466154
a_subj.34.0,1.0015447141765828
a_subj.35.0,0.9999831034893928
a_subj.36.0,1.0000678634477844
a_subj.37.0,1.0000754943131307
a_subj.38.0,0.9999777299933494
a_subj.39.0,0.9999809615559057
a_subj.40.0,1.0000038509613571
a_subj.41.0,0.9999802331553663
a_subj.42.0,1.0000710508144681
a_subj.43.0,1.0001185988999002
a_subj.44.0,0.9999848688975426
a_subj.45.0,0.9999971737863407
a_subj.46.0,0.9999944085188693
a_subj.47.0,1.0000064893298664
a_subj.48.0,1.0001737763298983
a_subj.49.0,1.0000177690714784
t,1.0001056970073365
t_std,0.9999861964811455
t_subj.1.0,0.9999922255612451
t_subj.2.0,0.9999697994030449
t_subj.3.0,0.9999860694526275
t_subj.4.0,1.0000263143466779
t_subj.5.0,0.9999713903121289
t_subj.6.0,0.999994143671856
t_subj.7.0,1.0002747758907966
t_subj.8.0,1.0000315427920117
t_subj.9.0,1.0000875656247392
