,mean,std,2.5q,25q,50q,75q,97.5q,mc err,,
a,1.802738257,0.038972186,1.727899397,1.776529087,1.802248491,1.828324708,1.881232953,0.000173593,,"1.803 [1.728, 1.881]"
a_std,0.259690032,0.030057486,0.208443668,0.238346977,0.257284725,0.277969412,0.325823301,0.000151046,,
a_subj.1.0,1.749535949,0.061376175,1.633277015,1.70763995,1.747869191,1.790127627,1.873739543,0.000255351,,
a_subj.2.0,1.997027632,0.067496358,1.869455664,1.950407515,1.995318026,2.041122209,2.134506347,0.000312135,,
a_subj.3.0,2.118278152,0.076188553,1.975827666,2.065866202,2.116379249,2.167771237,2.274785359,0.00037834,,
a_subj.4.0,1.147039819,0.04002204,1.071649981,1.119475439,1.145920962,1.173500849,1.228181069,0.000203525,,
a_subj.5.0,1.525597214,0.058044035,1.416961866,1.485131889,1.524147142,1.563898621,1.643010852,0.000313588,,
a_subj.6.0,1.649169236,0.067400119,1.523080476,1.602813767,1.647168983,1.693423505,1.786510437,0.000316042,,
a_subj.7.0,1.922714671,0.063735183,1.80063813,1.879487423,1.921528562,1.964283044,2.052421711,0.000321024,,
a_subj.8.0,1.658419215,0.059088942,1.547852388,1.617610036,1.656794371,1.697098617,1.778742562,0.000293886,,
a_subj.9.0,1.873662317,0.066127545,1.74930191,1.828728928,1.871675799,1.916789677,2.008369375,0.000293293,,
a_subj.10.0,2.274238727,0.086831981,2.112610921,2.213744103,2.271616503,2.331674791,2.450776867,0.000460693,,
a_subj.11.0,1.876857313,0.068888929,1.747537248,1.829423507,1.874865998,1.922168302,2.016985542,0.00033822,,
a_subj.12.0,1.881032529,0.065976421,1.756254674,1.835436573,1.879684795,1.924826659,2.014851601,0.00028326,,
a_subj.13.0,1.330596669,0.051938542,1.232628113,1.294910239,1.329378279,1.365050553,1.435807357,0.000241343,,
a_subj.14.0,1.819952045,0.066234855,1.695230056,1.774364378,1.818186338,1.863075993,1.95496403,0.000360122,,
a_subj.15.0,1.373428752,0.049388856,1.279271574,1.339642705,1.372259755,1.406128018,1.473598853,0.000209717,,
a_subj.16.0,1.998520159,0.07199273,1.860213275,1.949712617,1.997232258,2.046244325,2.14193721,0.000355089,,
a_subj.17.0,1.314245869,0.047388557,1.224986514,1.281709522,1.313062984,1.345358883,1.410209265,0.000220699,,
a_subj.18.0,1.780942609,0.061340594,1.662087556,1.739829795,1.780250524,1.821757766,1.902644101,0.000263869,,
a_subj.20.0,1.594967537,0.061578037,1.475750269,1.553460382,1.593934282,1.635606085,1.71823377,0.000305375,,
a_subj.21.0,2.020524867,0.07036905,1.887899546,1.972328331,2.018939635,2.066705545,2.163008163,0.000324596,,
a_subj.22.0,2.018629185,0.083721882,1.868907544,1.959253378,2.01331546,2.073667711,2.193636869,0.000624705,,
a_subj.23.0,2.026795784,0.074136,1.88812686,1.975541822,2.024751985,2.075763471,2.177996085,0.000371211,,
a_subj.24.0,1.930400294,0.07043107,1.797627493,1.882022764,1.928662438,1.976550007,2.073759337,0.000382167,,
a_subj.25.0,1.746557256,0.061898104,1.628093038,1.704155441,1.745678794,1.787696155,1.870213067,0.000294355,,
a_subj.26.0,1.692039734,0.058970532,1.580521245,1.651500311,1.690664837,1.731033584,1.811388022,0.000286,,
a_subj.27.0,2.243805397,0.078871772,2.094656236,2.189988394,2.24166884,2.295205081,2.405261349,0.000389248,,
a_subj.28.0,1.752667766,0.066216309,1.628768127,1.707134587,1.750384434,1.796380929,1.887632163,0.000327318,,
a_subj.29.0,1.820447714,0.071493747,1.683657798,1.771382803,1.819615726,1.868798853,1.962860297,0.000442238,,
a_subj.30.0,1.482161338,0.053388331,1.380654219,1.445794644,1.480822296,1.517217155,1.590240139,0.000257653,,
a_subj.31.0,2.055153668,0.07303209,1.917479708,2.005135881,2.053218671,2.103316112,2.204056363,0.000377846,,
a_subj.32.0,1.83413094,0.062144018,1.716522835,1.791636228,1.832556862,1.874773595,1.960678003,0.000288742,,
a_subj.33.0,1.853947626,0.067428048,1.727478313,1.807232659,1.851984917,1.898305484,1.990999461,0.000339025,,
a_subj.34.0,1.8483424,0.084651324,1.69982935,1.788789402,1.840837392,1.901184401,2.031541711,0.001214326,,
a_subj.35.0,1.677430282,0.05754457,1.569223812,1.638143544,1.67575607,1.715320731,1.794504841,0.000267541,,
a_subj.36.0,1.855161392,0.065220821,1.731435547,1.810347587,1.853606359,1.897982448,1.987549791,0.000376465,,
a_subj.37.0,2.195293483,0.075506814,2.053431123,2.143198371,2.193154439,2.245110654,2.34919574,0.000363893,,
a_subj.38.0,1.629701036,0.057639708,1.521650893,1.58977391,1.628152532,1.667791502,1.746797288,0.000272777,,
a_subj.39.0,1.90847722,0.067922276,1.779507367,1.862045492,1.906463102,1.953135769,2.046369662,0.000319087,,
a_subj.40.0,2.035037257,0.072584018,1.899165929,1.985220755,2.03253165,2.082533372,2.183832822,0.000370933,,
a_subj.41.0,1.801435564,0.064244631,1.679158708,1.757809059,1.799885621,1.843988181,1.93132807,0.000303792,,
a_subj.42.0,1.921384597,0.069463496,1.791778926,1.873823071,1.918641356,1.966759245,2.064411062,0.000358225,,
a_subj.43.0,1.792483494,0.062789562,1.674330465,1.749107176,1.790802036,1.833912789,1.920163937,0.000303111,,
a_subj.44.0,1.778949866,0.064259192,1.658113625,1.734907086,1.776884591,1.8212872,1.909776849,0.000302679,,
