Parameter,Rhat
a,1.0000060244219442
a_std,1.0000380324007532
a_subj.1.0,1.0000385791825532
a_subj.2.0,1.0000041122582193
a_subj.3.0,0.9999977480854663
a_subj.4.0,1.000033740061708
a_subj.5.0,0.9999909785756724
a_subj.6.0,1.0000018428558253
a_subj.7.0,1.0000059821226037
a_subj.8.0,1.0000161568308925
a_subj.9.0,1.0000035630990782
a_subj.10.0,1.0000054978032298
a_subj.11.0,0.9999911395937446
a_subj.12.0,0.9999840182572495
a_subj.13.0,1.0001694740422078
a_subj.14.0,1.0000258369790218
a_subj.15.0,0.999982571477679
a_subj.16.0,0.9999834661934004
a_subj.17.0,1.0000808447684875
a_subj.18.0,0.999982145807626
a_subj.20.0,1.0000482639379074
a_subj.21.0,1.000012342060329
a_subj.22.0,1.0001336024506022
a_subj.23.0,0.9999718659491187
a_subj.24.0,1.0000188644902648
a_subj.25.0,0.9999932539556301
a_subj.26.0,1.0000166388554743
a_subj.27.0,1.0000099744401085
a_subj.28.0,0.9999895223892453
a_subj.29.0,0.9999710996334933
a_subj.30.0,1.000024006486674
a_subj.31.0,0.9999909803479956
a_subj.32.0,0.9999843938317767
a_subj.33.0,1.000030515533851
a_subj.34.0,0.9999859574283573
a_subj.35.0,0.9999832907238079
a_subj.36.0,1.000013431077698
a_subj.37.0,0.9999815504165263
a_subj.38.0,0.9999664032712515
a_subj.39.0,1.0001372967254167
a_subj.40.0,0.9999808163315902
a_subj.41.0,1.0001453481174138
a_subj.42.0,1.000048326463613
a_subj.43.0,1.0000381932258529
a_subj.44.0,0.9999883611217149
a_subj.45.0,0.9999800585655527
a_subj.46.0,0.9999968627948883
a_subj.47.0,1.0000274487442051
a_subj.48.0,1.0001432834265565
a_subj.49.0,1.0000536013774584
t,1.0000417216225983
t_std,1.000100680886793
t_subj.1.0,0.9999921544170349
t_subj.2.0,0.9999928984034672
t_subj.3.0,1.0000305652406394
t_subj.4.0,0.9999749948004201
t_subj.5.0,1.000020525860116
t_subj.6.0,0.9999916541907957
t_subj.7.0,1.000008275104308
t_subj.8.0,1.0000778484340092
t_subj.9.0,0.9999822428880191
t_subj.10.0,1.0000198934206326
t_subj.11.0,0.999965745683573
t_subj.12.0,0.9999918150190006
t_subj.13.0,1.000227352566586
t_subj.14.0,1.000023519718026
t_subj.15.0,1.0000173086332385
t_subj.16.0,0.9999810757026755
t_subj.17.0,1.0000484072484606
t_subj.18.0,1.0001132244750186
t_subj.20.0,0.9999983724063753
t_subj.21.0,0.999965997875814
t_subj.22.0,1.0006033288669016
