,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.801782555364879,0.03876085142264582,1.7267008448158518,1.775873186977021,1.8013449195583755,1.827179407890824,1.8795044106671153,0.00016793890517397266
a_std,0.2578748165602705,0.029862801922563662,0.20644022221879593,0.2369430023818907,0.2553560308717769,0.27603515447961957,0.323380199577384,0.00015816733684603364
a_subj.1.0,1.7471242291845308,0.06151951474483126,1.6311596507212387,1.7044970828770172,1.7453064027622482,1.7875248548290237,1.8715333486926697,0.00027474744651887894
a_subj.2.0,1.9935689351198962,0.06804587004678009,1.8649456286151183,1.9465216480923426,1.9919229950155835,2.038324673950946,2.1319712543344362,0.0002807269937802376
a_subj.3.0,2.110932760561696,0.07554339195888547,1.9693145072657885,2.0589600778554322,2.108423040404487,2.1610269803581144,2.2652515398525677,0.000334836309098253
a_subj.4.0,1.1470783521239616,0.039991561600930474,1.072172201698493,1.1196995122668014,1.1459609900610332,1.1731865675926951,1.2289052077058882,0.0001851526454119611
a_subj.5.0,1.5108529984429715,0.05420636130332337,1.4105656383211,1.4733363527880325,1.5087783719776755,1.5459561440891842,1.6229872952942304,0.0003163082367868009
a_subj.6.0,1.6426107002893122,0.06678950469124159,1.5164522846323614,1.596757793043139,1.6406965986736635,1.6866299297244463,1.7787709109338683,0.0003556552359524019
a_subj.7.0,1.9211127269434964,0.06376973546625955,1.800451411873133,1.877196677638393,1.9198421216762802,1.9631582468894662,2.04920486377324,0.0002506392175110201
a_subj.8.0,1.6559494447376375,0.0590539212730188,1.5461369904206264,1.6153591698205365,1.6540482796309675,1.6940595597270915,1.7776851306857786,0.0002703959773406848
a_subj.9.0,1.8735229846362562,0.06623643799665249,1.7488265371615799,1.828049817610742,1.8717438593848497,1.9170205262008846,2.0087111573392735,0.0003448514719057169
a_subj.10.0,2.274175282656684,0.08700004930179758,2.1112550939530688,2.213691978760549,2.2712682959491115,2.332186748845855,2.450470209869702,0.0005822079316492671
a_subj.11.0,1.8750038373291793,0.06867636862270576,1.7464766086308179,1.8274664589821152,1.873248269119132,1.9201667475870994,2.015445301952863,0.00031393637625375126
a_subj.12.0,1.8800304583372316,0.06607301510748047,1.7562417733620108,1.83434456251007,1.8785285968720635,1.9231153914246675,2.014837018981941,0.0002752446540829125
a_subj.13.0,1.336049249554986,0.05194911689948985,1.2371591512782707,1.3007239577744554,1.3347719354217726,1.3702806270284995,1.441170941843311,0.00028166894436373565
a_subj.14.0,1.818493809200621,0.06597278001317174,1.6941125655454876,1.772938953381928,1.8171837518724656,1.8618557313166395,1.951641337622605,0.00037523903044707144
