,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.8026858054181796,0.03869526048624585,1.7280048633895182,1.7765669316941088,1.8019692461623873,1.827952573941318,1.8809002229168288,0.00017170117169808225
a_std,0.2583583984739557,0.029700850252776183,0.20713688828642485,0.23751415435189094,0.255794961676036,0.27651936633374913,0.32342940424582434,0.00014560114858044057
a_subj.1.0,1.7479707951249572,0.06111645079684283,1.6323006053487639,1.706029039186558,1.746346715451808,1.7880266989295808,1.872611557434911,0.00024267089449217698
a_subj.2.0,1.9945024941350884,0.06746620643779283,1.8668890216269152,1.9481582359226306,1.99330083238784,2.039071373154426,2.1305563196578112,0.00035068117928357983
a_subj.3.0,2.1116438337084342,0.07578235651049343,1.968847212375246,2.059722702972169,2.1096775349008716,2.161031128927086,2.2664328499213022,0.0003721235061818108
a_subj.4.0,1.1474227339679908,0.03971489135314513,1.0725133348692861,1.120311277151412,1.146593997104566,1.1735497645558066,1.2287222373636768,0.00016998287548944697
a_subj.5.0,1.512184419545532,0.054725017333398726,1.4103203101270552,1.4741149048984732,1.5101634760062301,1.5479205480838174,1.6253943333190275,0.0002848605200031065
a_subj.6.0,1.6470038161513574,0.06751102182538914,1.519580547600852,1.6007676339209236,1.6448480420208782,1.6908282967742707,1.7847163590864032,0.00028899135276190687
a_subj.7.0,1.9203521835242874,0.06340428444413546,1.8005193041792897,1.8768775830242288,1.9191936171650983,1.9621652336827753,2.048370615061022,0.0002661848522084868
a_subj.8.0,1.6569169998228164,0.05866004670805665,1.5457473114108884,1.6166445567471501,1.6552609234183706,1.6957524007517062,1.7764002544172783,0.0002845569097098963
a_subj.9.0,1.875343527693969,0.0661860174588064,1.7499047761758681,1.8298559499732554,1.873794001414889,1.919101704091783,2.0097295549928047,0.000319392837978743
a_subj.10.0,2.2746751078453964,0.08680357923305453,2.112843207708647,2.2141936544923566,2.2720171136888707,2.332637434445678,2.4498436830285995,0.0004550554432102321
a_subj.11.0,1.8762155301270775,0.0688660384299284,1.7471886353916117,1.829015053307725,1.8740575399992558,1.9212916251504153,2.0168371728735983,0.0003498437967121931
a_subj.12.0,1.8807873622620404,0.06589079483361532,1.7579183649827332,1.835281747887453,1.8788892781394033,1.9242845866009766,2.0158114495908457,0.00029256776875744673
a_subj.13.0,1.3367230882210281,0.05196425016272994,1.2380998487302657,1.3012126748316781,1.3354613959172936,1.3707822575873652,1.4424010007990007,0.0002760989610161791
a_subj.14.0,1.8185108728710944,0.06609609893459852,1.6949135785445608,1.772933151616167,1.8165279120959112,1.8623754790976959,1.952501807830394,0.00034858986262281384
a_subj.15.0,1.372021083296412,0.04870595340441171,1.2798385333409619,1.338558790501112,1.3708448716813777,1.4043824530826212,1.4705009691666369,0.0002210054123749331
a_subj.16.0,2.0005612296934174,0.07141992200214962,1.8637673880104797,1.9521145736619279,1.9991661222176367,2.0478557111439626,2.1447712368128085,0.0003121699604053958
a_subj.17.0,1.3141769013324447,0.047365262859288174,1.224767251234657,1.2815642607379467,1.3125731484238243,1.345382483744572,1.4109984894147258,0.00024534557070627955
a_subj.18.0,1.7787984456340409,0.0605035701049671,1.6628457757327721,1.7379990000755643,1.7778499109926313,1.8186398277139566,1.9004784296071113,0.00031128056398817044
a_subj.20.0,1.6015203179405093,0.0609129105788931,1.4850260548679786,1.5598982443647134,1.6002748497989536,1.6420232084587885,1.7229928306450515,0.00030715022963983906
a_subj.21.0,2.0196754086430806,0.0701523041792054,1.8870043014411744,1.971772901384283,2.0174344448278134,2.0657316730908524,2.163518921257843,0.0003388097777713547
a_subj.22.0,2.0190963940540745,0.08378581182437525,1.8692893274691729,1.959539697787317,2.0136769973447146,2.073782017927692,2.1959770255243147,0.0005695134505196006
a_subj.23.0,2.0226733638069114,0.07356044091095068,1.885545401626316,1.972052709475461,2.020170742493004,2.0707637015758444,2.172228543922078,0.00036726150123312957
a_subj.24.0,1.9284879090380944,0.07055037270497194,1.797557006629566,1.879612643379526,1.9263878218905788,1.9746457464038656,2.0738684108095335,0.00033049265695605774
a_subj.25.0,1.7448380738777858,0.06190154282310151,1.6263202087228399,1.702641521295257,1.7440883597946684,1.78595586445615,1.869002989142969,0.0003107853785934975
